[119/200] seed=118 SP=0 P0= 30 P1= 26 (P0)  P0W=79 P1W=39 D=1  avgM=+2.16  t=1.8s elapsed=42s eta=29s
[120/200] seed=122 SP=1 P0= 27 P1= 18 (P0)  P0W=80 P1W=39 D=1  avgM=+2.22  t=1.3s elapsed=43s eta=28s
[121/200] seed=120 SP=0 P0= 19 P1= 31 (P1)  P0W=80 P1W=40 D=1  avgM=+2.10  t=2.0s elapsed=43s eta=28s
[122/200] seed=124 SP=1 P0= 26 P1= 21 (P0)  P0W=81 P1W=40 D=1  avgM=+2.12  t=1.4s elapsed=43s eta=28s
[123/200] seed=123 SP=0 P0= 26 P1= 19 (P0)  P0W=82 P1W=40 D=1  avgM=+2.16  t=1.9s elapsed=43s eta=27s
[124/200] seed= 98 SP=0 P0= 28 P1= 31 (P1)  P0W=82 P1W=41 D=1  avgM=+2.12  t=9.0s elapsed=44s eta=27s
[125/200] seed=121 SP=0 P0= 26 P1= 25 (P0)  P0W=83 P1W=41 D=1  avgM=+2.11  t=2.7s elapsed=44s eta=26s
[126/200] seed=125 SP=0 P0= 41 P1= 25 (P0)  P0W=84 P1W=41 D=1  avgM=+2.22  t=2.2s elapsed=45s eta=26s
[127/200] seed=129 SP=1 P0= 18 P1= 23 (P1)  P0W=84 P1W=42 D=1  avgM=+2.17  t=1.6s elapsed=45s eta=26s
[128/200] seed=130 SP=1 P0= 27 P1= 28 (P1)  P0W=84 P1W=43 D=1  avgM=+2.14  t=1.7s elapsed=45s eta=25s
[129/200] seed=126 SP=0 P0= 22 P1= 31 (P1)  P0W=84 P1W=44 D=1  avgM=+2.05  t=2.9s elapsed=45s eta=25s
[130/200] seed=128 SP=1 P0= 26 P1= 28 (P1)  P0W=84 P1W=45 D=1  avgM=+2.02  t=2.6s elapsed=46s eta=25s
[131/200] seed=132 SP=1 P0= 20 P1= 28 (P1)  P0W=84 P1W=46 D=1  avgM=+1.95  t=1.6s elapsed=46s eta=24s
[132/200] seed=131 SP=0 P0= 29 P1= 18 (P0)  P0W=85 P1W=46 D=1  avgM=+2.02  t=2.4s elapsed=46s eta=24s
[133/200] seed=127 SP=1 P0= 23 P1= 28 (P1)  P0W=85 P1W=47 D=1  avgM=+1.96  t=3.4s elapsed=46s eta=23s
[134/200] seed=135 SP=0 P0= 32 P1= 25 (P0)  P0W=86 P1W=47 D=1  avgM=+2.00  t=1.1s elapsed=46s eta=23s
[135/200] seed=133 SP=1 P0= 28 P1= 30 (P1)  P0W=86 P1W=48 D=1  avgM=+1.97  t=1.9s elapsed=46s eta=22s
[136/200] seed=134 SP=1 P0= 30 P1= 20 (P0)  P0W=87 P1W=48 D=1  avgM=+2.03  t=1.8s elapsed=47s eta=22s
[137/200] seed=136 SP=1 P0= 20 P1= 20 (P1)  P0W=87 P1W=49 D=1  avgM=+2.01  t=1.7s elapsed=47s eta=22s
[138/200] seed=139 SP=0 P0= 28 P1= 23 (P0)  P0W=88 P1W=49 D=1  avgM=+2.04  t=1.4s elapsed=47s eta=21s
