NN match: P0=nn vs P1=nn
  P0: nn nn_models/M_55k_snap6th/best.pt
  P1: nn nn_models/M_55k_game6th/best.pt
  sims:     500 (mcts seats only)
  c_uct:    1.4
  n_random_fencing: 4
  fpu_offset: 0.0
  mcts_temperature: 0.2
  nn_temperature: 0.0
  games:    200 (seeds 0..199)
  jobs:     4

lib/python3.10/site-packages/torch/_utils.py:783: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
lib/python3.10/site-packages/torch/_utils.py:783: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
lib/python3.10/site-packages/torch/_utils.py:783: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
lib/python3.10/site-packages/torch/_utils.py:783: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
[  1/200] seed=  1 SP=0 P0= 27 P1= 23 (P0)  P0W=1 P1W=0 D=0  avgM=+4.00  t=1.4s elapsed=3s eta=619s
[ 61/200] seed= 59 SP=1 P0= 15 P1= 20 (P1)  P0W=46 P1W=15 D=0  avgM=+4.46  t=1.5s elapsed=27s eta=61s
[ 62/200] seed= 61 SP=0 P0= 25 P1= 26 (P1)  P0W=46 P1W=16 D=0  avgM=+4.37  t=1.4s elapsed=27s eta=60s
[ 63/200] seed= 62 SP=0 P0= 27 P1= 25 (P0)  P0W=47 P1W=16 D=0  avgM=+4.33  t=1.1s elapsed=27s eta=59s
[ 64/200] seed= 63 SP=0 P0= 17 P1= 16 (P0)  P0W=48 P1W=16 D=0  avgM=+4.28  t=1.2s elapsed=28s eta=59s
[ 65/200] seed= 65 SP=0 P0= 18 P1= 25 (P1)  P0W=48 P1W=17 D=0  avgM=+4.11  t=1.1s elapsed=28s eta=58s
[ 66/200] seed= 66 SP=1 P0= 34 P1= 26 (P0)  P0W=49 P1W=17 D=0  avgM=+4.17  t=1.0s elapsed=28s eta=57s
[ 67/200] seed= 64 SP=1 P0= 36 P1= 25 (P0)  P0W=50 P1W=17 D=0  avgM=+4.27  t=1.7s elapsed=28s eta=56s
[ 68/200] seed= 68 SP=0 P0= 27 P1= 29 (P1)  P0W=50 P1W=18 D=0  avgM=+4.18  t=1.2s elapsed=29s eta=57s
[ 69/200] seed= 67 SP=1 P0= 41 P1= 21 (P0)  P0W=51 P1W=18 D=0  avgM=+4.41  t=2.0s elapsed=30s eta=56s
[ 70/200] seed= 70 SP=1 P0=  8 P1= 20 (P1)  P0W=51 P1W=19 D=0  avgM=+4.17  t=1.7s elapsed=30s eta=56s
