Run dir: nn_models/M_55k_snap_half
Device: cpu
Target mode: margin | head: linear | loss: mse

  cache HIT: standard_bimodal_5k/encoded_v2.npz
  cache HIT: S1_standard_bimodal_10k/encoded_v2.npz
  cache HIT: S2_no_v1_bimodal_10k/encoded_v2.npz
  cache HIT: S3_strong3_bimodal_10k/encoded_v2.npz
  cache HIT: S4_all_lowT_10k/encoded_v2.npz
  cache HIT: S5_no_v1_lowT_10k/encoded_v2.npz
Chunked build: train=4023860 val=1039712 test=1028000 | dtype=float16 | use_cache=True | target_mode=margin target_std=13.152

Model: 110,849 parameters
  arch: [256, 256] / gelu / norm=layer / dropout=0.2 / head=linear

epoch |  train_mse | train_mae(p) |   val_mse | val_mae(p) | best | pat | time(s)
   85 |     0.3603 |         5.67 |    0.3606 |       5.64 |      |   6 |   220.7
   86 |     0.3604 |         5.67 |    0.3607 |       5.64 |      |   7 |   219.7
   87 |     0.3602 |         5.67 |    0.3609 |       5.64 |      |   8 |   220.7
   88 |     0.3601 |         5.67 |    0.3606 |       5.63 |      |   9 |   140.9
   89 |     0.3602 |         5.67 |    0.3604 |       5.63 |      |  10 |    63.9
   90 |     0.3602 |         5.67 |    0.3617 |       5.65 |      |  11 |    62.1
   91 |     0.3600 |         5.67 |    0.3613 |       5.64 |      |  12 |    62.7
   92 |     0.3601 |         5.67 |    0.3600 |       5.63 |  *   |   0 |    63.1
   93 |     0.3599 |         5.67 |    0.3601 |       5.64 |      |   1 |    61.8
   94 |     0.3598 |         5.67 |    0.3606 |       5.63 |      |   2 |    61.0
   95 |     0.3598 |         5.67 |    0.3600 |       5.63 |  *   |   0 |    61.9
   96 |     0.3597 |         5.67 |    0.3608 |       5.64 |      |   1 |    62.1
   97 |     0.3597 |         5.67 |    0.3614 |       5.65 |      |   2 |    62.1
   98 |     0.3597 |         5.67 |    0.3605 |       5.63 |      |   3 |    62.1
   99 |     0.3596 |         5.67 |    0.3617 |       5.65 |      |   4 |    62.0
  100 |     0.3595 |         5.67 |    0.3609 |       5.64 |      |   5 |    62.0
/Users/hunterwieman/miniconda3/lib/python3.10/site-packages/torch/_utils.py:783: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()

Loading best checkpoint for test eval...
  best epoch: 95
  test MSE (normalized): 0.3546
  test MAE (margin):     5.641 points
  leaf value_scale (σ):  20.4085
  saved: nn_models/M_55k_snap_half/train_curves.png
  saved: nn_models/M_55k_snap_half/calibration.png
