Run dir: nn_models/sp_v_256x2
Device: cpu
Target mode: margin | head: linear | loss: mse

  cache MISS: encoding cpp_selfplay_30k
  encoded cpp_selfplay_30k/worker_02_c062.pkl: descs so far=4446050
  encoded cpp_selfplay_30k/worker_02_c063.pkl: descs so far=4467402
  encoded cpp_selfplay_30k/worker_02_c064.pkl: descs so far=4488392
  encoded cpp_selfplay_30k/worker_02_c065.pkl: descs so far=4509140
  encoded cpp_selfplay_30k/worker_02_c066.pkl: descs so far=4530018
  encoded cpp_selfplay_30k/worker_02_c067.pkl: descs so far=4550534
  encoded cpp_selfplay_30k/worker_02_c068.pkl: descs so far=4571142
  encoded cpp_selfplay_30k/worker_02_c069.pkl: descs so far=4591758
  encoded cpp_selfplay_30k/worker_02_c070.pkl: descs so far=4612726
  encoded cpp_selfplay_30k/worker_02_c071.pkl: descs so far=4633642
  encoded cpp_selfplay_30k/worker_02_c072.pkl: descs so far=4654520
  encoded cpp_selfplay_30k/worker_02_c073.pkl: descs so far=4675210
  encoded cpp_selfplay_30k/worker_02_c074.pkl: descs so far=4696016
  encoded cpp_selfplay_30k/worker_03_c000.pkl: descs so far=4716754
  encoded cpp_selfplay_30k/worker_03_c001.pkl: descs so far=4737068
  encoded cpp_selfplay_30k/worker_03_c002.pkl: descs so far=4758094
  encoded cpp_selfplay_30k/worker_03_c003.pkl: descs so far=4779080
  encoded cpp_selfplay_30k/worker_03_c004.pkl: descs so far=4800016
  encoded cpp_selfplay_30k/worker_03_c005.pkl: descs so far=4820626
  encoded cpp_selfplay_30k/worker_03_c006.pkl: descs so far=4841176
  encoded cpp_selfplay_30k/worker_03_c007.pkl: descs so far=4861546
  encoded cpp_selfplay_30k/worker_03_c008.pkl: descs so far=4882240
  encoded cpp_selfplay_30k/worker_03_c009.pkl: descs so far=4902910
  encoded cpp_selfplay_30k/worker_03_c010.pkl: descs so far=4923950
  encoded cpp_selfplay_30k/worker_03_c011.pkl: descs so far=4945076
  encoded cpp_selfplay_30k/worker_03_c012.pkl: descs so far=4966014
  encoded cpp_selfplay_30k/worker_03_c013.pkl: descs so far=4986956
  encoded cpp_selfplay_30k/worker_03_c014.pkl: descs so far=5007510
  encoded cpp_selfplay_30k/worker_03_c015.pkl: descs so far=5028200
  encoded cpp_selfplay_30k/worker_03_c016.pkl: descs so far=5048710
  encoded cpp_selfplay_30k/worker_03_c017.pkl: descs so far=5069846
  encoded cpp_selfplay_30k/worker_03_c018.pkl: descs so far=5090664
  encoded cpp_selfplay_30k/worker_03_c019.pkl: descs so far=5111288
